Time_Seconds,Power_Watts
0.0003661880000436213,64.085
0.005483131000801222,64.085
0.010605619001580635,64.085
0.015696358001150656,64.085
0.020789587000763277,64.085
0.025861620000796393,64.085
0.03096771200216608,64.085
0.03604142599942861,64.085
0.04112514400185319,64.085
0.046221201002481394,64.085
0.051303046002431074,64.085
0.05637874899912276,64.085
0.0614641770007438,64.085
0.06654239199997392,64.085
0.07161747899954207,64.085
0.07669197100040037,64.085
0.0817651819997991,64.085
0.08684138000171515,64.085
0.09191763300259481,64.085
0.09699174300112645,64.085
0.10206849600217538,64.085
0.10714126099992427,64.085
0.11221497700171312,64.085
0.1172968380014936,64.085
0.12238408700068248,64.085
0.1274824610009091,64.085
0.13255801299965242,64.085
0.13763786400159006,64.085
0.14274214100078098,64.085
0.14783596800043597,64.085
0.15291141000125208,64.085
0.15798476100098924,191.363
0.16306578800140414,191.363
0.16814276200238965,191.363
0.1732217960015987,191.363
0.17837620399950538,191.363
0.18346925000150804,191.363
0.1885451300004206,191.363
0.19363802700172528,191.363
0.19872088900228846,191.363
0.2038000850006938,191.363
0.20887466299973312,191.363
0.21394842200243147,191.363
0.2190671550015395,191.363
0.22414079300142475,191.363
0.22929667599964887,191.363
0.23441817500133766,191.363
0.23949246300253435,191.363
0.2445641849990352,191.363
0.2496382610006549,191.363
0.25471776300037163,191.363
0.25979079000171623,185.54
0.2648645209992537,185.54
0.26993664000110584,185.54
0.2750189840007806,185.54
0.2800927230018715,185.54
0.2851676899990707,185.54
0.29023879899978056,185.54
0.2953138670018234,185.54
0.3003857629992126,185.54
0.3054698380001355,185.54
0.3105845270001737,185.54
0.3156823169993004,185.54
0.32077903500248794,185.54
0.3259004810024635,185.54
0.33101268999962485,185.54
0.3360878320017946,185.54
0.34116202099903603,185.54
0.3462373160000425,185.54
0.35134081200158107,185.54
0.3564661519994843,185.54
0.3615427210024791,263.965
0.36661718799950904,263.965
0.371714361001068,263.965
0.3768016970025201,263.965
0.38196414800040657,263.965
0.3870682209999359,263.965
0.3921445619998849,263.965
0.39724344199930783,263.965
0.40235221900002216,263.965
0.4074269990014727,263.965
0.41250067800137913,263.965
0.41757629700077814,263.965
0.4226683890010463,263.965
0.4277445970001281,263.965
0.4328188420004153,263.965
0.4378921259994968,263.965
0.44299622000107775,263.965
0.4480951980003738,263.965
0.4531849510021857,263.965
0.45827919600196765,283.834
0.4633296470019559,283.834
0.4684045899994089,283.834
0.47349034500075504,283.834
0.478603966999799,283.834
0.4836989960022038,283.834
0.48880482700042194,283.834
0.4938979590006056,283.834
0.49902775500231655,283.834
0.5041506260022288,283.834
0.5092515579999599,283.834
