Time_Seconds,Power_Watts
0.00037059799797134474,64.085
0.005565253999520792,64.085
0.01071515999865369,64.085
0.015808254000148736,64.085
0.02092607599843177,64.085
0.02604506599891465,64.085
0.031162462997599505,64.085
0.03639424799985136,64.085
0.04150254100022721,64.085
0.046583900999394245,64.085
0.05166452499906882,64.085
0.05674374299996998,64.085
0.061898332998680416,64.085
0.0670250479997776,64.085
0.07212162699943292,64.085
0.07728641100038658,64.085
0.08240097700036131,64.085
0.08750988399697235,64.085
0.09261175099891261,64.085
0.09771619199818815,64.085
0.10281302399744163,64.085
0.10789613700035261,64.085
0.11300633499922697,64.085
0.11814602199956425,64.085
0.12324218899811967,64.085
0.12841640699843992,64.085
0.13353838100010762,64.085
0.13863540799866314,64.085
0.14374233199851005,64.085
0.14890870599992923,64.085
0.15400571999998647,64.085
0.15908753399708075,64.085
0.16420205499889562,64.085
0.16931597700022394,64.085
0.1744423279997136,189.008
0.17956153499835636,189.008
0.18466829899989534,189.008
0.18976534199828166,189.008
0.19491031099823886,189.008
0.20002296099846717,189.008
0.20513554799981648,189.008
0.21023212999716634,189.008
0.21535141699860105,189.008
0.22046488499836414,189.008
0.2255609719977656,189.008
0.23066729399943142,189.008
0.23578954999902635,189.008
0.2408879809991049,189.008
0.24606774999847403,189.008
0.2512112000003981,189.008
0.2563232109969249,189.008
0.26140574300006847,189.008
0.26655805900009,189.008
0.2717123980000906,189.008
0.27681004899932304,178.306
0.2819720059997053,178.306
0.28712336699754815,178.306
0.29224064399750205,178.306
0.29742405399883864,178.306
0.30253538499891874,178.306
0.3076348449976649,178.306
0.31274239999765996,178.306
0.31784029499976896,178.306
0.3229653119997238,178.306
0.3280990949970146,178.306
0.3331976070003293,178.306
0.33830958099861164,178.306
0.34343482199983555,178.306
0.3485536909975053,178.306
0.35365931799969985,178.306
0.358806354997796,178.306
0.3639023149989953,178.306
0.3690184369988856,178.306
0.3741297589986061,256.566
0.3792260009977326,256.566
0.3843398219978553,256.566
0.3894547460004105,256.566
0.3945446629986691,256.566
0.3996459669979231,256.566
0.4047947459985153,256.566
0.4098904019992915,256.566
0.41504197599715553,256.566
0.4201566509982513,256.566
0.42526769899996,256.566
0.43038413699832745,256.566
0.43551629799912916,256.566
0.4406624589973944,256.566
0.44578635599827976,256.566
0.4508830999984639,256.566
0.4559934360004263,256.566
0.46110930099894176,256.566
0.46620966399859753,256.566
0.47132630799751496,256.566
0.476437523997447,273.448
0.48153569499845617,273.448
0.4866371589996561,273.448
0.49176224099937826,273.448
0.49685997999768006,273.448
0.5019732359978661,273.448
0.5071256720002566,273.448
0.5122429479997663,273.448
