Step,Native_ms,Hashrope_ms
1,452.5456129995291,1.4354960003402084
2,468.64403300060076,0.8492039996781386
3,470.7335550010612,0.707843999407487
4,471.27969700159156,0.6719660013914108
5,468.94421499746386,0.664219001919264
6,473.4222199986107,0.692860998242395
7,466.178258000582,0.632346000202233
8,471.9937949994346,0.6229900027392432
9,471.54983000291395,0.6028860007063486
10,460.2016069984529,0.628720001259353
11,464.6489099977771,0.6061550011509098
12,472.2169560009206,0.5910680010856595
13,478.2247150033072,0.5971390019112732
14,461.2523709984089,0.6012980011291802
15,463.3663550011988,0.5919799987168517
16,473.21440700034145,0.5974109990347642
17,477.86988000007113,0.5830289992445614
18,463.5744919978606,0.6101690014475025
19,476.73637400293956,0.5956770000921097
20,480.73921900140704,0.5780930005130358
