Step,Native_ms,Hybrid_ms
0,1.9911590002266166,2.211545000136539
1,4.246255000452948,4.428380000263132
2,6.085237000206689,6.893195999964519
3,7.883993000177725,9.007335999740462
4,9.843800999988161,11.268662000020413
5,11.667008999665995,13.748389999818755
6,13.391492999744514,15.87751599981857
7,15.067531999648054,17.91071199977523
8,17.216840999481065,20.26462299954801
9,19.098440999641753,22.375719999672583
10,20.85836099968219,24.54835699973046
11,22.61884999961694,26.618970999606972
12,24.417980999714928,28.76006799942843
13,26.44052699997701,31.134073999055545
14,28.493188000084047,33.356650998939585
15,30.520111999976507,35.487604998706956
16,32.117121999817755,37.61687799851643
17,33.79365099954157,39.74653499881242
18,35.34118299967304,42.07509699881484
19,39.52838199984399,44.20452899921656
20,41.23570099955032,46.33992099934403
21,42.93686599930879,48.496767999495205
22,44.58553899939943,50.62901199926273
23,46.93127499967886,52.922779999335035
24,49.079387999881874,55.26623299920175
25,50.82666299995253,57.420272999024746
26,52.4206579998463,59.49521999900753
27,53.94037199948798,61.831085999074276
28,55.5053769994629,63.91790899897387
29,57.08317099924898,66.03518399924724
30,59.10786799904599,68.18198399923858
31,60.70898999905694,70.31041799928062
32,62.369612999191304,72.75343799892653
33,64.47237499924086,74.93557099905956
34,66.28655899885416,77.03503899892894
35,68.6063089988238,79.46703399875332
36,70.23835799918743,81.67697199860413
37,71.93544699930499,84.13459799885459
38,73.57391099958477,86.30527899913432
39,75.71794999967096,88.46233599933839
40,77.35115199966458,90.5358939994585
41,79.61529799968048,92.79795199972796
42,81.31869099952382,94.92887499982317
43,83.04907699948672,97.01924000000872
44,84.68419199971322,99.41286599996602
45,86.86219299943332,101.6011020001315
46,88.98245499949553,102.73309400008657
47,90.4879679997066,105.09121099994445
48,92.65834400002859,107.2719609996966
49,94.7363889999906,109.38815999952567
50,96.6230940002788,111.72170399959214
51,98.16085200054658,113.9831099994808
52,99.7382320001634,116.38725499915381
53,102.1011890002228,118.65612899919142
54,104.22663100007412,121.11367399893425
55,105.82401700003174,123.5471409991078
56,107.6423640001849,125.7051179991322
57,108.92020000028424,128.07553199900212
58,110.95220900051572,130.25359799894431
59,112.48378900063472,132.37870999910228
60,113.96327700049369,134.71657899890488
61,115.5192510004781,137.19743999899947
62,117.06168000046091,139.36143199862272
63,118.67658400024084,141.54225799893538
64,120.11665499994706,143.7601019988506
65,121.38128800006598,146.26886499900138
66,122.81543200015221,148.38807199885196
67,124.9138060002224,150.74125499859292
68,126.82700599998498,152.92874999886408
69,128.2618810000713,154.98450599898206
70,130.12112300020817,157.1645239987447
71,132.3265060000267,159.3174389986416
72,133.84553200012306,161.50536399845805
73,135.33221099987713,163.66386999879978
74,136.6614339995067,165.9390489985526
75,138.85086799973578,168.3773739987373
76,140.77928400001838,170.61223299879202
77,142.68240799992782,172.78925399841683
78,144.70111199989333,175.28061299844921
79,146.35564599984718,177.86969799863073
80,148.02764900014154,180.1956579988655
81,150.18637500043042,182.6870259988027
82,151.9967400004134,184.87692799908473
83,153.6256480007978,187.05340899896328
84,155.29119400071068,189.16856499890855
85,157.44429500091428,190.63367899889272
86,159.61416200070744,192.825276998974
87,161.52847500097778,195.06524099870148
88,163.16653000103543,197.35476199866753
89,164.82049000114785,199.7949679989688
90,167.0123940011763,201.96772999906898
91,168.58216300124695,204.37174999869967
92,170.32163000112632,206.5936679987317
93,172.0088590013802,208.99255899848868
94,173.69268400125293,211.45317899845395
95,175.29846700108465,213.80813299856527
96,176.81793000065227,215.96094899859963
97,178.35623300061343,218.1235749985717
98,179.96699700051977,220.2605209986359
99,182.15457400083324,222.455205998358
