Requests,Native_RPS,Hybrid_RPS
5,487.40211745641795,419.7289742788652
10,898.8516810282824,419.50040941170187
25,880.2031846889548,415.2860068085709
50,920.4222610228287,420.6489538178353
100,917.1018184855538,424.9849917619413
